person1_word_idx,person2_word_idx,sentence,tokens,person1_right_tokens,person2_right_tokens,between_tokens,Label
"(0, 1)","(11, 12)","David Panton (left) and Julie Bishop pictured together   Ms Bishop was first seen with Mr Panton at the Melbourne Cup in November but after admitting they were an item, she later turned around and denied it.   ","['David', 'Panton', '(', 'left', ')', 'and', 'Julie', 'Bishop', 'pictured', 'together', '', 'Ms', 'Bishop', 'was', 'first', 'seen', 'with', 'Mr', 'Panton', 'at', 'the', 'Melbourne', 'Cup', 'in', 'November', 'but', 'after', 'admitting', 'they', 'were', 'an', 'item', ',', 'she', 'later', 'turned', 'around', 'and', 'denied', 'it', '.', '']","['(', 'left', ')', 'and']","['was', 'first', 'seen', 'with']","['(', 'left', ')', 'and', 'Julie', 'Bishop', 'pictured', 'together', '']",0
"(0, 0)","(36, 36)","Gisele celebrated her eldest stepson, John's latest milestone last week, captioning the huddled portrait: '8 years ago today a little angel was born'   Rumors of a pending divorce between Tom and the former Victoria's Secret model were finally put to rest after her continual support and latest visit to the stadium.   ","['Gisele', 'celebrated', 'her', 'eldest', 'stepson', ',', 'John', 's', 'latest', 'milestone', 'last', 'week', ',', 'captioning', 'the', 'huddled', 'portrait', ':', '', '8', 'years', 'ago', 'today', 'a', 'little', 'angel', 'was', 'born', '', '', 'Rumors', 'of', 'a', 'pending', 'divorce', 'between', 'Tom', 'and', 'the', 'former', 'Victoria', 's', 'Secret', 'model', 'were', 'finally', 'put', 'to', 'rest', 'after', 'her', 'continual', 'support', 'and', 'latest', 'visit', 'to', 'the', 'stadium', '.', '']","['celebrated', 'her', 'eldest', 'stepson']","['and', 'the', 'former', 'Victoria']","['celebrated', 'her', 'eldest', 'stepson', ',', 'John', 's', 'latest', 'milestone', 'last', 'week', ',', 'captioning', 'the', 'huddled', 'portrait', ':', '', '8', 'years', 'ago', 'today', 'a', 'little', 'angel', 'was', 'born', '', '', 'Rumors', 'of', 'a', 'pending', 'divorce', 'between']",1
"(4, 5)","(29, 30)",Princess to Poppins: Julie Andrews and Anne in a scene from their 2001 film The Princess Diaries   Anne also showed off her spot-on imitation of Julie Andrews during her first Saturday Night Live hosting gig in 2008.    ,"['Princess', 'to', 'Poppins', ':', 'Julie', 'Andrews', 'and', 'Anne', 'in', 'a', 'scene', 'from', 'their', '2001', 'film', 'The', 'Princess', 'Diaries', '', 'Anne', 'also', 'showed', 'off', 'her', 'spot', '-', 'on', 'imitation', 'of', 'Julie', 'Andrews', 'during', 'her', 'first', 'Saturday', 'Night', 'Live', 'hosting', 'gig', 'in', '2008', '.', '']","['and', 'Anne', 'in', 'a']","['during', 'her', 'first', 'Saturday']","['and', 'Anne', 'in', 'a', 'scene', 'from', 'their', '2001', 'film', 'The', 'Princess', 'Diaries', '', 'Anne', 'also', 'showed', 'off', 'her', 'spot', '-', 'on', 'imitation', 'of']",0
"(11, 11)","(24, 24)","Indrani had several mails sent from that account to Mikhail, Peter and Vidhie, a resignation letter to Reliance One Metro, where Sheena worked then, and a letter to the landlord of the flat in which Sheena lived cancelling the leave and licence agreement.","['Indrani', 'had', 'several', 'mails', 'sent', 'from', 'that', 'account', 'to', 'Mikhail', ',', 'Peter', 'and', 'Vidhie', ',', 'a', 'resignation', 'letter', 'to', 'Reliance', 'One', 'Metro', ',', 'where', 'Sheena', 'worked', 'then', ',', 'and', 'a', 'letter', 'to', 'the', 'landlord', 'of', 'the', 'flat', 'in', 'which', 'Sheena', 'lived', 'cancelling', 'the', 'leave', 'and', 'licence', 'agreement', '.']","['and', 'Vidhie', ',', 'a']","['worked', 'then', ',', 'and']","['and', 'Vidhie', ',', 'a', 'resignation', 'letter', 'to', 'Reliance', 'One', 'Metro', ',', 'where']",0
"(6, 7)","(11, 12)",Wayans got on the subject of Bill Cosby after radio host Angela Lee asked what advice he would give the embattled comedy legend.    ',"['Wayans', 'got', 'on', 'the', 'subject', 'of', 'Bill', 'Cosby', 'after', 'radio', 'host', 'Angela', 'Lee', 'asked', 'what', 'advice', 'he', 'would', 'give', 'the', 'embattled', 'comedy', 'legend', '.', '', '']","['after', 'radio', 'host', 'Angela']","['asked', 'what', 'advice', 'he']","['after', 'radio', 'host']",0
"(8, 8)","(10, 10)","The embattled Kentucky clerk told the publication that Francis thanked Davis ""for your courage,"" and they exchanged hugs.   ","['The', 'embattled', 'Kentucky', 'clerk', 'told', 'the', 'publication', 'that', 'Francis', 'thanked', 'Davis', '""', 'for', 'your', 'courage', ',', '""', 'and', 'they', 'exchanged', 'hugs', '.', '']","['thanked', 'Davis', '""', 'for']","['""', 'for', 'your', 'courage']",['thanked'],0
"(13, 14)","(19, 19)","THE TOYS IN WOOLWORTHS AHEAD OF HER 13TH BIRTHDAY       Target: Vikram Singh, known as 'Bicky', approached one victim as she looked at Batman figures in Woolworths in Aylesbury, pictured, in 2006 just before her 13th birthday   One of the kingpins of the Aylesbury abuse gang targeted a 12-year-old as she browsed toys.    ","['THE', 'TOYS', 'IN', 'WOOLWORTHS', 'AHEAD', 'OF', 'HER', '13TH', 'BIRTHDAY', '', 'Target', ':', '', 'Vikram', 'Singh', ',', 'known', 'as', '', 'Bicky', '', ',', 'approached', 'one', 'victim', 'as', 'she', 'looked', 'at', 'Batman', 'figures', 'in', 'Woolworths', 'in', 'Aylesbury', ',', 'pictured', ',', 'in', '2006', 'just', 'before', 'her', '13th', 'birthday', '', 'One', 'of', 'the', 'kingpins', 'of', 'the', 'Aylesbury', 'abuse', 'gang', 'targeted', 'a', '12-year', '-', 'old', 'as', 'she', 'browsed', 'toys', '.', '']","[',', 'known', 'as', '']","['', ',', 'approached', 'one']","[',', 'known', 'as', '']",0
"(54, 56)","(76, 76)","It wasn’t my idea,’ he insisted, ‘two of the receptionists at the surgery told me they had put me forward because I am a bit of a nonconformist and very outdoorsy.’   Ricky has no television in the home near Canterbury that he shares with his wife of ten years, Emma-Jane, 44, a designer, and their three children Molly, 15, Lizzy, ten, and Angus, eight.","['It', 'was', 'n’t', 'my', 'idea,’', 'he', 'insisted', ',', '‘', 'two', 'of', 'the', 'receptionists', 'at', 'the', 'surgery', 'told', 'me', 'they', 'had', 'put', 'me', 'forward', 'because', 'I', 'am', 'a', 'bit', 'of', 'a', 'nonconformist', 'and', 'very', 'outdoorsy.’', '', 'Ricky', 'has', 'no', 'television', 'in', 'the', 'home', 'near', 'Canterbury', 'that', 'he', 'shares', 'with', 'his', 'wife', 'of', 'ten', 'years', ',', 'Emma', '-', 'Jane', ',', '44', ',', 'a', 'designer', ',', 'and', 'their', 'three', 'children', 'Molly', ',', '15', ',', 'Lizzy', ',', 'ten', ',', 'and', 'Angus', ',', 'eight', '.']","[',', '44', ',', 'a']","[',', 'eight', '.']","[',', '44', ',', 'a', 'designer', ',', 'and', 'their', 'three', 'children', 'Molly', ',', '15', ',', 'Lizzy', ',', 'ten', ',', 'and']",0
"(11, 12)","(14, 15)","He is seen with (from left) Michael Pattie, Anna Kennedy, Heather Parsons, Phillip Barnett and Trishna Bharadia   He made a ‘split second mistake’ while consumed by anger and stress after the hellish tour in which his unit, 42 Commando, had suffered dozens of casualties, witnessed Taliban atrocities and received insufficient support from the chain of command.      ","['He', 'is', 'seen', 'with', '(', 'from', 'left', ')', 'Michael', 'Pattie', ',', 'Anna', 'Kennedy', ',', 'Heather', 'Parsons', ',', 'Phillip', 'Barnett', 'and', 'Trishna', 'Bharadia', '', 'He', 'made', 'a', '‘', 'split', 'second', 'mistake’', 'while', 'consumed', 'by', 'anger', 'and', 'stress', 'after', 'the', 'hellish', 'tour', 'in', 'which', 'his', 'unit', ',', '42', 'Commando', ',', 'had', 'suffered', 'dozens', 'of', 'casualties', ',', 'witnessed', 'Taliban', 'atrocities', 'and', 'received', 'insufficient', 'support', 'from', 'the', 'chain', 'of', 'command', '.', '']","[',', 'Heather', 'Parsons', ',']","[',', 'Phillip', 'Barnett', 'and']","[',']",0
"(16, 17)","(19, 20)","On Friday night, Kim was joined at Kanye's show by her sisters Khloe and Kourtney Kardashian and Kendall Jenner.       ","['On', 'Friday', 'night', ',', 'Kim', 'was', 'joined', 'at', 'Kanye', 's', 'show', 'by', 'her', 'sisters', 'Khloe', 'and', 'Kourtney', 'Kardashian', 'and', 'Kendall', 'Jenner', '.', '']","['and', 'Kendall', 'Jenner', '.']","['.', '']",['and'],0
"(3, 4)","(36, 36)","Cover feature: Nicole Kidman features in The Hollywood Reporter's Top 25 Red Carpet Designers issue along with Katie Holmes, Gwyneth Paltrow and Blake Lively   Nicole, 48, wraps her arm around Wang's shoulders on her cover and wears a striking black and white dress which appears to fit like a glove.   ","['Cover', 'feature', ':', 'Nicole', 'Kidman', 'features', 'in', 'The', 'Hollywood', 'Reporter', 's', 'Top', '25', 'Red', 'Carpet', 'Designers', 'issue', 'along', 'with', 'Katie', 'Holmes', ',', 'Gwyneth', 'Paltrow', 'and', 'Blake', 'Lively', '', 'Nicole', ',', '48', ',', 'wraps', 'her', 'arm', 'around', 'Wang', 's', 'shoulders', 'on', 'her', 'cover', 'and', 'wears', 'a', 'striking', 'black', 'and', 'white', 'dress', 'which', 'appears', 'to', 'fit', 'like', 'a', 'glove', '.', '']","['features', 'in', 'The', 'Hollywood']","['s', 'shoulders', 'on', 'her']","['features', 'in', 'The', 'Hollywood', 'Reporter', 's', 'Top', '25', 'Red', 'Carpet', 'Designers', 'issue', 'along', 'with', 'Katie', 'Holmes', ',', 'Gwyneth', 'Paltrow', 'and', 'Blake', 'Lively', '', 'Nicole', ',', '48', ',', 'wraps', 'her', 'arm', 'around']",0
"(2, 3)","(15, 16)","Guys like Bruce Rastetter have different interests and concerns than I do,” said Dusty Hanson, a distribution manager and Eldora resident who is considering Christie, Kentucky Sen. Rand Paul and Donald Trump.   ","['Guys', 'like', 'Bruce', 'Rastetter', 'have', 'different', 'interests', 'and', 'concerns', 'than', 'I', 'do', ',', '”', 'said', 'Dusty', 'Hanson', ',', 'a', 'distribution', 'manager', 'and', 'Eldora', 'resident', 'who', 'is', 'considering', 'Christie', ',', 'Kentucky', 'Sen.', 'Rand', 'Paul', 'and', 'Donald', 'Trump', '.', '']","['have', 'different', 'interests', 'and']","[',', 'a', 'distribution', 'manager']","['have', 'different', 'interests', 'and', 'concerns', 'than', 'I', 'do', ',', '”', 'said']",0
"(3, 3)","(8, 8)",Star model: Kim's half-sister Kendall made her way down the catwalk as the show kicked off     Spring Summer 2016: The 5ft 10in beauty was seen modeling a white lace-trimmed top with tulle detail and black wide-legged trousers   The performer showed off his Season 1 collaboration with Adidas at New York Fashion Week in February.    ,"['Star', 'model', ':', 'Kim', 's', 'half', '-', 'sister', 'Kendall', 'made', 'her', 'way', 'down', 'the', 'catwalk', 'as', 'the', 'show', 'kicked', 'off', '', 'Spring', 'Summer', '2016', ':', 'The', '5', 'ft', '10', 'in', 'beauty', 'was', 'seen', 'modeling', 'a', 'white', 'lace', '-', 'trimmed', 'top', 'with', 'tulle', 'detail', 'and', 'black', 'wide', '-', 'legged', 'trousers', '', 'The', 'performer', 'showed', 'off', 'his', 'Season', '1', 'collaboration', 'with', 'Adidas', 'at', 'New', 'York', 'Fashion', 'Week', 'in', 'February', '.', '']","['s', 'half', '-', 'sister']","['made', 'her', 'way', 'down']","['s', 'half', '-', 'sister']",0
"(25, 25)","(45, 45)","Moving on: Nick Cannon treated model Winnie Harlow to a romantic dinner date in Beverly Hills, California, on Tuesday evening   Nick was pictured following Winnie - whose birth name is Chantelle Brown-Young - out of the Mr Chow restaurant dressed in a jazzy ensemble.    ","['Moving', 'on', ':', 'Nick', 'Cannon', '', 'treated', 'model', 'Winnie', 'Harlow', 'to', 'a', 'romantic', 'dinner', 'date', 'in', 'Beverly', 'Hills', ',', 'California', ',', 'on', 'Tuesday', 'evening', '', 'Nick', 'was', 'pictured', 'following', 'Winnie', '-', 'whose', 'birth', 'name', 'is', '', 'Chantelle', 'Brown', '-', 'Young', '-', 'out', 'of', 'the', 'Mr', 'Chow', 'restaurant', 'dressed', 'in', 'a', 'jazzy', 'ensemble', '.', '']","['was', 'pictured', 'following', 'Winnie']","['restaurant', 'dressed', 'in', 'a']","['was', 'pictured', 'following', 'Winnie', '-', 'whose', 'birth', 'name', 'is', '', 'Chantelle', 'Brown', '-', 'Young', '-', 'out', 'of', 'the', 'Mr']",0
"(8, 8)","(48, 49)","Since being elected to Congress in 2006, McCarthy made his presence known in California by clashing with Democrats and environmentalists over his efforts to bring more water to farmers, and by aggressively opposing any federal involvement in the high-speed rail system championed by Gov. Jerry Brown.   ","['Since', 'being', 'elected', 'to', 'Congress', 'in', '2006', ',', 'McCarthy', 'made', 'his', 'presence', 'known', 'in', 'California', 'by', 'clashing', 'with', 'Democrats', 'and', 'environmentalists', 'over', 'his', 'efforts', 'to', 'bring', 'more', 'water', 'to', 'farmers', ',', 'and', 'by', 'aggressively', 'opposing', 'any', 'federal', 'involvement', 'in', 'the', 'high', '-', 'speed', 'rail', 'system', 'championed', 'by', 'Gov.', 'Jerry', 'Brown', '.', '']","['made', 'his', 'presence', 'known']","['.', '']","['made', 'his', 'presence', 'known', 'in', 'California', 'by', 'clashing', 'with', 'Democrats', 'and', 'environmentalists', 'over', 'his', 'efforts', 'to', 'bring', 'more', 'water', 'to', 'farmers', ',', 'and', 'by', 'aggressively', 'opposing', 'any', 'federal', 'involvement', 'in', 'the', 'high', '-', 'speed', 'rail', 'system', 'championed', 'by', 'Gov.']",0
"(29, 29)","(40, 40)","It was never replaced, and when I moved out they tried to charge me for the damage by deducting money from my bond.’   Lucy’s parents, Martin, 52, who owns an engineering firm, and Julie, 48, who has a dance school, live in a four-bedroom bungalow, in Nottinghamshire.","['It', 'was', 'never', 'replaced', ',', 'and', 'when', 'I', 'moved', 'out', 'they', 'tried', 'to', 'charge', 'me', 'for', 'the', 'damage', 'by', 'deducting', 'money', 'from', 'my', 'bond.’', '', 'Lucy', '’s', 'parents', ',', 'Martin', ',', '52', ',', 'who', 'owns', 'an', 'engineering', 'firm', ',', 'and', 'Julie', ',', '48', ',', 'who', 'has', 'a', 'dance', 'school', ',', 'live', 'in', 'a', 'four', '-', 'bedroom', 'bungalow', ',', 'in', 'Nottinghamshire', '.']","[',', '52', ',', 'who']","[',', '48', ',', 'who']","[',', '52', ',', 'who', 'owns', 'an', 'engineering', 'firm', ',', 'and']",1
"(10, 12)","(15, 15)","I can confirm we are involved into the investigation into Hunter Montgomery's death, Ginn said.   '","['I', 'can', 'confirm', 'we', 'are', 'involved', 'into', 'the', 'investigation', 'into', 'Hunter', 'Montgomery', 's', 'death', ',', 'Ginn', 'said', '.', '', '']","['death', ',', 'Ginn', 'said']","['said', '.', '', '']","['death', ',']",0
"(3, 3)","(40, 40)","Swimming around: Scott - who has been open about his battle with the bulge in the past - also showed off his belly on Wednesday      Relaxing: Scott then went for a leisurely walk with his wife, Ann, and their dog
","['Swimming', 'around', ':', 'Scott', '-', 'who', 'has', 'been', 'open', 'about', 'his', 'battle', 'with', 'the', 'bulge', 'in', 'the', 'past', '-', 'also', 'showed', 'off', 'his', 'belly', 'on', 'Wednesday', '', 'Relaxing', ':', 'Scott', 'then', 'went', 'for', 'a', 'leisurely', 'walk', 'with', 'his', 'wife', ',', 'Ann', ',', 'and', 'their', 'dog', '']","['-', 'who', 'has', 'been']","[',', 'and', 'their', 'dog']","['-', 'who', 'has', 'been', 'open', 'about', 'his', 'battle', 'with', 'the', 'bulge', 'in', 'the', 'past', '-', 'also', 'showed', 'off', 'his', 'belly', 'on', 'Wednesday', '', 'Relaxing', ':', 'Scott', 'then', 'went', 'for', 'a', 'leisurely', 'walk', 'with', 'his', 'wife', ',']",1
"(45, 45)","(48, 49)","Playtime: Katie Price shared this heartwarming picture of her baby boy Jett, two, (R) and 13-month-old daughter Bunny (L) gazing up at her from within a cardboard box   The cute kids, whose father is Katie's husband Kieran Hayler, can be seen grinning up at the camera with playful looks on their faces as they peer out from within the box.    ","['Playtime', ':', 'Katie', 'Price', 'shared', 'this', 'heartwarming', 'picture', 'of', 'her', 'baby', 'boy', 'Jett', ',', 'two', ',', '(', 'R', ')', 'and', '13-month', '-', 'old', 'daughter', 'Bunny', '(', 'L', ')', 'gazing', 'up', 'at', 'her', 'from', 'within', 'a', 'cardboard', 'box', '', 'The', 'cute', 'kids', ',', 'whose', 'father', 'is', 'Katie', 's', 'husband', 'Kieran', 'Hayler', ',', 'can', 'be', 'seen', 'grinning', 'up', 'at', 'the', 'camera', 'with', 'playful', 'looks', 'on', 'their', 'faces', 'as', 'they', 'peer', 'out', 'from', 'within', 'the', 'box', '.', '']","['s', 'husband', 'Kieran', 'Hayler']","[',', 'can', 'be', 'seen']","['s', 'husband']",1
"(18, 18)","(20, 21)","Party time: Meanwhile at the Blackpool Illuminations on Friday night, stars including Professor Green, Jedward and Alexa Goddard took to the stage to perform for the crowds     Stand-out performance: The rapper was seen singing his heart out as he performed wearing black jeans, a slate grey hoodie, a black cap and a pair of New Balance trainers   The star danced up a storm on stage, her blonde locks flowing in the wind, as she sported a pair of lightwash ripped jeans ripped with a checked shirt tied around her waist.   ","['Party', 'time', ':', '', 'Meanwhile', 'at', 'the', 'Blackpool', 'Illuminations', 'on', 'Friday', 'night', ',', 'stars', 'including', 'Professor', 'Green', ',', 'Jedward', 'and', 'Alexa', 'Goddard', 'took', 'to', 'the', 'stage', 'to', 'perform', 'for', 'the', 'crowds', '', 'Stand', '-', 'out', 'performance', ':', 'The', 'rapper', 'was', 'seen', 'singing', 'his', 'heart', 'out', 'as', 'he', 'performed', 'wearing', 'black', 'jeans', ',', 'a', 'slate', 'grey', 'hoodie', ',', 'a', 'black', 'cap', 'and', 'a', 'pair', 'of', 'New', 'Balance', 'trainers', '', 'The', 'star', 'danced', 'up', 'a', 'storm', 'on', 'stage', ',', 'her', 'blonde', 'locks', 'flowing', 'in', 'the', 'wind', ',', 'as', 'she', 'sported', 'a', 'pair', 'of', 'lightwash', 'ripped', 'jeans', 'ripped', 'with', 'a', 'checked', 'shirt', 'tied', 'around', 'her', 'waist', '.', '']","['and', 'Alexa', 'Goddard', 'took']","['took', 'to', 'the', 'stage']",['and'],0
"(3, 5)","(18, 19)","Courtney Love and Kurt Cobain’s daughter went under the radar and married her boyfriend of five years Isaiah Silva in a small and intimate ceremony recently, E!","['Courtney', 'Love', 'and', 'Kurt', 'Cobain', '’s', 'daughter', 'went', 'under', 'the', 'radar', 'and', 'married', 'her', 'boyfriend', 'of', 'five', 'years', 'Isaiah', 'Silva', 'in', 'a', 'small', 'and', 'intimate', 'ceremony', 'recently', ',', 'E', '!']","['daughter', 'went', 'under', 'the']","['in', 'a', 'small', 'and']","['daughter', 'went', 'under', 'the', 'radar', 'and', 'married', 'her', 'boyfriend', 'of', 'five', 'years']",0
"(8, 8)","(10, 10)","PHOTOS: Joe's hottest shirtless shots   Vergara and Manganiello, 38, announced their engagement last December after dating for six months, and sources exclusi…
","['PHOTOS', ':', 'Joe', 's', 'hottest', 'shirtless', 'shots', '', 'Vergara', 'and', 'Manganiello', ',', '38', ',', 'announced', 'their', 'engagement', 'last', 'December', 'after', 'dating', 'for', 'six', 'months', ',', 'and', 'sources', 'exclusi', '…', '']","['and', 'Manganiello', ',', '38']","[',', '38', ',', 'announced']",['and'],0
"(0, 1)","(29, 29)","Ivana Trump, 66, posed for photographs with her children at golf fundraiser The former wife of Donald Trump helped raise funds for children's hospital Her son Eric's event is one of the country's largest private golf fundraisers   While her campaigning former husband yesterday held a disastrous Twitter Q&A, Ivana Trump was busy drawing crowds at her son's charity event in New York.   ","['Ivana', 'Trump', ',', '66', ',', 'posed', 'for', 'photographs', 'with', 'her', 'children', 'at', 'golf', 'fundraiser', 'The', 'former', 'wife', 'of', 'Donald', 'Trump', 'helped', 'raise', 'funds', 'for', 'children', 's', 'hospital', 'Her', 'son', 'Eric', 's', 'event', 'is', 'one', 'of', 'the', 'country', 's', 'largest', 'private', 'golf', 'fundraisers', '', 'While', 'her', 'campaigning', 'former', 'husband', 'yesterday', 'held', 'a', 'disastrous', 'Twitter', 'Q&A', ',', 'Ivana', 'Trump', 'was', 'busy', 'drawing', 'crowds', 'at', 'her', 'son', 's', 'charity', 'event', 'in', 'New', 'York', '.', '']","[',', '66', ',', 'posed']","['s', 'event', 'is', 'one']","[',', '66', ',', 'posed', 'for', 'photographs', 'with', 'her', 'children', 'at', 'golf', 'fundraiser', 'The', 'former', 'wife', 'of', 'Donald', 'Trump', 'helped', 'raise', 'funds', 'for', 'children', 's', 'hospital', 'Her', 'son']",0
"(8, 9)","(18, 19)",Former NHL forward and FoxSportsNorth hockey analyst Tom Chorske wrote on Twitter: 'Really sad about Todd Ewen passing away.,"['Former', 'NHL', 'forward', 'and', 'FoxSportsNorth', 'hockey', 'analyst', '', 'Tom', 'Chorske', 'wrote', 'on', 'Twitter', ':', '', 'Really', 'sad', 'about', 'Todd', 'Ewen', 'passing', 'away', '.']","['wrote', 'on', 'Twitter', ':']","['passing', 'away', '.']","['wrote', 'on', 'Twitter', ':', '', 'Really', 'sad', 'about']",0
"(15, 16)","(21, 22)","Before he returns as Magneto in next year's X-Men: Apocalypse, Michael Fassbender takes on a beloved William Shakespeare story in the upcoming adaptation Macbeth.","['Before', 'he', 'returns', 'as', 'Magneto', 'in', 'next', 'year', 's', 'X', '-', 'Men', ':', 'Apocalypse', ',', 'Michael', 'Fassbender', 'takes', 'on', 'a', 'beloved', 'William', 'Shakespeare', 'story', 'in', 'the', 'upcoming', 'adaptation', 'Macbeth', '.']","['takes', 'on', 'a', 'beloved']","['story', 'in', 'the', 'upcoming']","['takes', 'on', 'a', 'beloved']",0
"(11, 11)","(44, 44)","Brian Short, 45, was found dead with his wife Karen and three children Police found bodies during a welfare check at their Lake Minnetonka home Family hadn't been heard from and the children had missed school Cole, 17, Madison, 15, and Brooklyn, 14, were said to be among victims    Authorities are yet to reveal who they believe is behind the killing  Police Chief Mike Siitari said it was an extremely gruesome scene     A family of five were have been found dead following an apparent murder-suicide inside their $2million lakeside mansion.   ","['Brian', 'Short', ',', '45', ',', 'was', 'found', 'dead', 'with', 'his', 'wife', 'Karen', 'and', 'three', 'children', 'Police', 'found', 'bodies', 'during', 'a', 'welfare', 'check', 'at', 'their', '', 'Lake', 'Minnetonka', 'home', 'Family', 'had', ""n't"", 'been', 'heard', 'from', 'and', 'the', 'children', 'had', 'missed', 'school', 'Cole', ',', '17', ',', 'Madison', ',', '15', ',', 'and', 'Brooklyn', ',', '14', ',', 'were', 'said', 'to', 'be', 'among', 'victims', '', 'Authorities', 'are', 'yet', 'to', 'reveal', 'who', 'they', 'believe', 'is', 'behind', 'the', 'killing', '', 'Police', 'Chief', 'Mike', 'Siitari', 'said', 'it', 'was', 'an', 'extremely', 'gruesome', 'scene', '', 'A', 'family', 'of', 'five', 'were', 'have', 'been', 'found', 'dead', 'following', 'an', 'apparent', 'murder', '-', 'suicide', 'inside', 'their', '$', '2million', 'lakeside', 'mansion', '.', '']","['and', 'three', 'children', 'Police']","[',', '15', ',', 'and']","['and', 'three', 'children', 'Police', 'found', 'bodies', 'during', 'a', 'welfare', 'check', 'at', 'their', '', 'Lake', 'Minnetonka', 'home', 'Family', 'had', ""n't"", 'been', 'heard', 'from', 'and', 'the', 'children', 'had', 'missed', 'school', 'Cole', ',', '17', ',']",0
"(0, 0)","(14, 15)","John, who has two adopted children with his husband, the Canadian filmmaker David Furnish, said he hoped to use his influence to promote tolerance.   ","['John', ',', 'who', 'has', 'two', 'adopted', 'children', 'with', 'his', 'husband', ',', 'the', 'Canadian', 'filmmaker', 'David', 'Furnish', ',', 'said', 'he', 'hoped', 'to', 'use', 'his', 'influence', 'to', 'promote', 'tolerance', '.', '']","[',', 'who', 'has', 'two']","[',', 'said', 'he', 'hoped']","[',', 'who', 'has', 'two', 'adopted', 'children', 'with', 'his', 'husband', ',', 'the', 'Canadian', 'filmmaker']",1
"(17, 17)","(23, 24)","Despite a struggle with Lyme disease that had temporarily put her career on the back burner, Lavigne returned to the stage with Taylor Swift in late August and has three projects in the works.   ","['Despite', 'a', 'struggle', 'with', 'Lyme', 'disease', 'that', 'had', 'temporarily', 'put', 'her', 'career', 'on', 'the', 'back', 'burner', ',', 'Lavigne', 'returned', 'to', 'the', 'stage', 'with', 'Taylor', 'Swift', 'in', 'late', 'August', 'and', 'has', 'three', 'projects', 'in', 'the', 'works', '.', '']","['returned', 'to', 'the', 'stage']","['in', 'late', 'August', 'and']","['returned', 'to', 'the', 'stage', 'with']",0
"(0, 1)","(10, 11)","Ben Affleck could not stop smiling alongside his estranged wife Jennifer Garner in Santa Monica on Thursday   Ben even managed to coax a dimpled smirk from Jennifer, as if the parents-of-three were sharing an inside joke.   ","['Ben', 'Affleck', 'could', 'not', 'stop', 'smiling', 'alongside', 'his', 'estranged', 'wife', 'Jennifer', 'Garner', 'in', 'Santa', 'Monica', 'on', 'Thursday', '', 'Ben', 'even', 'managed', 'to', 'coax', 'a', 'dimpled', 'smirk', 'from', 'Jennifer', ',', 'as', 'if', 'the', 'parents', '-', 'of', '-', 'three', 'were', 'sharing', 'an', 'inside', 'joke', '.', '']","['could', 'not', 'stop', 'smiling']","['in', 'Santa', 'Monica', 'on']","['could', 'not', 'stop', 'smiling', 'alongside', 'his', 'estranged', 'wife']",1
"(15, 15)","(27, 27)","DEFIANT: Paul said Monday that 'we'll be around just as long as Trump – or longer'      '1 PER CENT!' Trump blasted Paul for a poor showing in one particular poll, but the senator's support among Republicans is averaging barely one-tenth of the billionaire's   Paul on Monday called that 'the funniest moment, I think, of the second debate, where out of nowhere – complete non sequitur – he starts going after me.'   '","['DEFIANT', ':', 'Paul', 'said', 'Monday', 'that', '', 'we', 'll', 'be', 'around', 'just', 'as', 'long', 'as', 'Trump', '–', 'or', 'longer', '', '', '', '1', 'PER', 'CENT', '!', '', 'Trump', 'blasted', 'Paul', 'for', 'a', 'poor', 'showing', 'in', 'one', 'particular', 'poll', ',', 'but', 'the', 'senator', 's', 'support', 'among', 'Republicans', 'is', 'averaging', 'barely', 'one', '-', 'tenth', 'of', 'the', 'billionaire', 's', '', 'Paul', 'on', 'Monday', 'called', 'that', '', 'the', 'funniest', 'moment', ',', 'I', 'think', ',', 'of', 'the', 'second', 'debate', ',', 'where', 'out', 'of', 'nowhere', '–', 'complete', 'non', 'sequitur', '–', 'he', 'starts', 'going', 'after', 'me', '.', '', '', '']","['–', 'or', 'longer', '']","['blasted', 'Paul', 'for', 'a']","['–', 'or', 'longer', '', '', '', '1', 'PER', 'CENT', '!', '']",0
"(1, 2)","(4, 5)","As Avril Lavigne and Chad Kroeger adjust to life in the wake of their separation, the former couple won't be short on distractions in the coming months.   ","['As', 'Avril', 'Lavigne', 'and', 'Chad', 'Kroeger', 'adjust', 'to', 'life', 'in', 'the', 'wake', 'of', 'their', 'separation', ',', 'the', 'former', 'couple', 'wo', ""n't"", 'be', 'short', 'on', 'distractions', 'in', 'the', 'coming', 'months', '.', '']","['and', 'Chad', 'Kroeger', 'adjust']","['adjust', 'to', 'life', 'in']",['and'],1
"(33, 34)","(39, 40)","Since the 18th CPC National Congress in late 2012, a sweeping campaign against corruption and extravagance has netted dozens of senior officials, including former senior leaders such as Zhou Yongkang, Xu Caihou, Guo Boxiong and Ling Jihua.   ""","['Since', 'the', '18th', 'CPC', 'National', 'Congress', 'in', 'late', '2012', ',', 'a', 'sweeping', 'campaign', 'against', 'corruption', 'and', 'extravagance', 'has', 'netted', 'dozens', 'of', 'senior', 'officials', ',', 'including', 'former', 'senior', 'leaders', 'such', 'as', 'Zhou', 'Yongkang', ',', 'Xu', 'Caihou', ',', 'Guo', 'Boxiong', 'and', 'Ling', 'Jihua', '.', '', '""']","[',', 'Guo', 'Boxiong', 'and']","['.', '', '""']","[',', 'Guo', 'Boxiong', 'and']",0
